MD,INC,AZI,TVD,SSTVD,N/S,NORTHING,E/W,EASTING,VSEC,DLS
6825,56.63,107.12,6629.31,-1181.66,-292.64,13987473.32,579.58,1098486.66,639.52,11.48
6830.94,57.38,106.66,6632.54,-1184.89,-294.09,13987471.87,584.34,1098491.43,644.5,14.18
6850,59.8,105.25,6642.47,-1194.82,-298.56,13987467.41,599.98,1098507.07,660.76,14.18
6856.49,60.29,104.83,6645.71,-1198.06,-300.01,13987465.95,605.41,1098512.5,666.38,9.45
6875,61.7,103.64,6654.69,-1207.04,-303.99,13987461.97,621.1,1098528.19,682.56,9.45
6900,62.5,102.69,6666.39,-1218.74,-309.03,13987456.94,642.62,1098549.7,704.6,4.64
6925,63.76,102.36,6677.69,-1230.04,-313.86,13987452.1,664.39,1098571.47,726.84,5.18
6950,64.35,102.72,6688.62,-1240.97,-318.74,13987447.22,686.33,1098593.42,749.26,2.69
6975,66.98,102.8,6698.92,-1251.27,-323.77,13987442.19,708.54,1098615.63,771.98,10.52
7000,67.6,102.74,6708.58,-1260.93,-328.87,13987437.09,731.04,1098638.12,794.98,2.49
7025,68.06,102.68,6718.01,-1270.36,-333.96,13987432,753.62,1098660.71,818.07,1.85
7050,67.92,102.56,6727.38,-1279.73,-339.03,13987426.93,776.24,1098683.32,841.18,0.72
7075,67.88,102.68,6736.78,-1289.13,-344.09,13987421.87,798.84,1098705.93,864.28,0.47
7100,68.05,102.94,6746.16,-1298.51,-349.23,13987416.73,821.44,1098728.53,887.4,1.18
7125,67.8,102.88,6755.56,-1307.91,-354.4,13987411.56,844.02,1098751.11,910.51,1.02
7150,68.12,102.52,6764.94,-1317.29,-359.5,13987406.46,866.63,1098773.71,933.63,1.85
7175,67.88,102.55,6774.31,-1326.66,-364.53,13987401.43,889.25,1098796.34,956.74,0.97
7200,67.35,102.18,6783.83,-1336.18,-369.48,13987396.48,911.83,1098818.92,979.79,2.52
7225,66.47,102.16,6793.63,-1345.98,-374.33,13987391.63,934.31,1098841.4,1002.71,3.52
