channel_GES,east,north,depth,latitude,longitude,elevation,utm_easting,utm_northing,utm_depth
221,483.5058,-164.7642,6509.0874,38.503596478488454,-112.89468858384471,-333.9449395200004,334788.55901011906,4263393.472878099,333.9449395200004
222,490.2842,-167.6066,6515.9422,38.50358905824607,-112.89466469725137,-336.0342825600003,334790.6250664396,4263392.606514581,336.0342825600003
223,497.1657,-170.4125,6522.7072,38.503581744034626,-112.89464045308283,-338.09625456000026,334792.7225476388,4263391.751276259,338.09625456000026
224,504.0687,-173.2107,6529.4534,38.503574452173126,-112.89461613435728,-340.1524963200004,334794.8265820403,4263390.8983849,340.1524963200004
225,511.0195,-176.0239,6536.145,38.50356712182807,-112.89459164755576,-342.19209600000045,334796.9451858795,4263390.040921538,342.19209600000045
226,518.0633,-178.8663,6542.7304,38.50355971657036,-112.89456683373895,-344.1993259200003,334799.092136119,4263389.174558019,344.1993259200003
227,525.107,-181.7087,6549.3159,38.503552311301576,-112.89454202027642,-346.20658632000004,334801.23905587837,4263388.3081944985,346.20658632000004
228,532.3221,-184.5991,6555.6854,38.503544783938864,-112.89451660453594,-348.1480099200003,334803.438218359,4263387.427200578,348.1480099200003
229,539.5669,-187.4979,6562.0175,38.503537235188325,-112.89449108443172,-350.0780340000001,334805.64643339906,4263386.543646339,350.0780340000001
230,546.9203,-190.3701,6568.2322,38.50352976559905,-112.89446518682479,-351.9722745600004,334807.88774971897,4263385.668199779,351.9722745600004
231,554.4625,-193.1965,6574.2427,38.50352243241628,-112.89443863289746,-353.80427496000016,334810.18661227956,4263384.806713059,353.80427496000016
232,562.0048,-196.0228,6580.2532,38.50351509950753,-112.89441207863314,-355.63627536000035,334812.4855053191,4263383.945256819,355.63627536000035
233,569.8365,-198.6515,6585.9778,38.503508325442084,-112.89438452749772,-357.3811334400002,334814.872607479,4263383.144029059,357.3811334400002
234,577.7084,-201.2527,6591.6627,38.50350162914077,-112.89435683789677,-359.11389096000016,334817.2719625982,4263382.351183298,359.11389096000016
